               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.034223,            0.014167,                   0,             0.78785,             0.72056,             0.76728,             0.30375,            0.049397,            0.013263,                   0,           0.0022225,           0.0022225,           0.0022225
                 136,            0.035141,            0.014335,                   0,             0.74215,             0.66278,             0.70084,             0.28387,            0.050982,            0.013596,                   0,           0.0021958,           0.0021958,           0.0021958
                 137,            0.035051,            0.015008,                   0,             0.77963,             0.65672,             0.71936,             0.28803,             0.05041,            0.013511,                   0,           0.0021707,           0.0021707,           0.0021707
                 138,            0.034789,            0.015057,                   0,             0.76923,             0.70362,             0.75322,             0.29073,            0.050212,            0.013512,                   0,           0.0021473,           0.0021473,           0.0021473
                 139,            0.033936,            0.014094,                   0,             0.79383,             0.68443,             0.75426,             0.29268,            0.050243,            0.013712,                   0,           0.0021257,           0.0021257,           0.0021257
                 140,            0.034469,            0.014532,                   0,             0.74283,             0.68443,             0.72045,             0.28272,            0.051117,            0.013664,                   0,           0.0021057,           0.0021057,           0.0021057
                 141,            0.034368,            0.014658,                   0,             0.75943,             0.66738,             0.71541,              0.2757,            0.051411,            0.013907,                   0,           0.0020874,           0.0020874,           0.0020874
                 142,            0.034531,            0.014162,                   0,             0.79898,             0.70342,             0.76124,             0.29294,            0.050391,            0.013675,                   0,           0.0020709,           0.0020709,           0.0020709
                 143,            0.034999,            0.014686,                   0,             0.77272,              0.7249,             0.76087,             0.29457,            0.050343,            0.013665,                   0,            0.002056,            0.002056,            0.002056
                 144,            0.034588,            0.014637,                   0,             0.77763,              0.6951,             0.75312,             0.28517,            0.050836,            0.013522,                   0,           0.0020429,           0.0020429,           0.0020429
                 145,            0.034866,            0.015082,                   0,             0.74995,             0.70342,             0.72846,              0.2852,            0.051093,            0.013591,                   0,           0.0020315,           0.0020315,           0.0020315
                 146,            0.033134,            0.014434,                   0,             0.77707,             0.69936,             0.74272,             0.29606,            0.050272,            0.013612,                   0,           0.0020219,           0.0020219,           0.0020219
                 147,            0.033997,            0.014669,                   0,             0.77733,             0.69296,              0.7449,             0.29032,             0.05056,            0.013818,                   0,            0.002014,            0.002014,            0.002014
                 148,            0.033249,            0.014276,                   0,             0.78905,             0.66311,             0.73178,             0.28404,            0.051018,             0.01402,                   0,           0.0020079,           0.0020079,           0.0020079
                 149,            0.034697,            0.014187,                   0,             0.75073,             0.66311,              0.7239,             0.27677,            0.051226,            0.013942,                   0,           0.0020035,           0.0020035,           0.0020035
